Prebuilt Roles,,,,Custom Roles
Chronicle API Admin,Chronicle API Editor,Chronicle API Viewer,,"SOC Analyst, including refList and dataTable admin"
chronicle.ais.createFeedback,chronicle.ais.createFeedback,chronicle.ais.createFeedback,,chronicle.ais.createFeedback
chronicle.ais.translateUdmQuery,chronicle.ais.translateUdmQuery,chronicle.ais.translateUdmQuery,,chronicle.ais.translateUdmQuery
chronicle.ais.translateYlRule,chronicle.ais.translateYlRule,chronicle.ais.translateYlRule,,chronicle.ais.translateYlRule
chronicle.analyticValues.list,chronicle.analyticValues.list,chronicle.analyticValues.list,,chronicle.analyticValues.list
chronicle.analytics.list,chronicle.analytics.list,chronicle.analytics.list,,chronicle.analytics.list
chronicle.bigQueryAccess.provide,chronicle.bigQueryExport.get,chronicle.bigQueryExport.get,,chronicle.cases.countPriorities
chronicle.bigQueryExport.get,chronicle.cases.countPriorities,chronicle.cases.countPriorities,,chronicle.collectors.get
chronicle.bigQueryExport.provision,chronicle.collectors.get,chronicle.collectors.get,,chronicle.collectors.list
chronicle.bigQueryExport.update,chronicle.collectors.list,chronicle.collectors.list,,chronicle.conversations.create
chronicle.cases.countPriorities,chronicle.conversations.create,chronicle.conversations.get,,chronicle.conversations.get
chronicle.collectors.create,chronicle.conversations.delete,chronicle.conversations.list,,chronicle.conversations.list
chronicle.collectors.delete,chronicle.conversations.get,chronicle.curatedRuleSetCategories.countAllCuratedRuleSetDetections,,chronicle.conversations.update
chronicle.collectors.get,chronicle.conversations.list,chronicle.curatedRuleSetCategories.get,,chronicle.curatedRuleSetCategories.countAllCuratedRuleSetDetections
chronicle.collectors.list,chronicle.conversations.update,chronicle.curatedRuleSetCategories.list,,chronicle.curatedRuleSetCategories.get
chronicle.collectors.update,chronicle.curatedRuleSetCategories.countAllCuratedRuleSetDetections,chronicle.curatedRuleSetDeployments.get,,chronicle.curatedRuleSetCategories.list
chronicle.conversations.create,chronicle.curatedRuleSetCategories.get,chronicle.curatedRuleSetDeployments.list,,chronicle.curatedRuleSetDeployments.get
chronicle.conversations.delete,chronicle.curatedRuleSetCategories.list,chronicle.curatedRuleSets.countCuratedRuleSetDetections,,chronicle.curatedRuleSetDeployments.list
chronicle.conversations.get,chronicle.curatedRuleSetDeployments.batchUpdate,chronicle.curatedRuleSets.get,,chronicle.curatedRuleSets.countCuratedRuleSetDetections
chronicle.conversations.list,chronicle.curatedRuleSetDeployments.get,chronicle.curatedRuleSets.list,,chronicle.curatedRuleSets.get
chronicle.conversations.update,chronicle.curatedRuleSetDeployments.list,chronicle.curatedRules.get,,chronicle.curatedRuleSets.list
chronicle.curatedRuleSetCategories.countAllCuratedRuleSetDetections,chronicle.curatedRuleSetDeployments.update,chronicle.curatedRules.list,,chronicle.curatedRules.get
chronicle.curatedRuleSetCategories.get,chronicle.curatedRuleSets.countCuratedRuleSetDetections,chronicle.dashboardCharts.get,,chronicle.curatedRules.list
